instance_id,place_name_in_text,place_id,latitude,longitude,time,primary_actor,secondary_actor
1,convent of the sisters of charity,1628,53.3576463,-6.2599254,14'56'00,Father Conmee,onelegged sailor
2,,,53.3572,-6.2581,14'56'50,Father Conmee,the wife of Mr David Sheehy M. P.
3,corner of Mountjoy square,1632,53.357414,-6.257208,14'59'00,Father Conmee,three little schoolboys
4,red pillarbox at the corner of Fitzgibbon street,1633,53.357495,-6.256892,15'00'30,Father Conmee,red pillarbox
5,bright red letterbox,1633,53.357495,-6.256892,15'00'50,Master Brunny Lynam,bright red letterbox
6,,1634,,,15'01'30,Father Conmee,Mrs M‘Guinness
38,Thornton's,1674,53.3406408,-6.2610531,15'05'00,Blazes Boylan,blond girl
7,Richmond street,1639,53.3584264,-6.25042,15'07'00,Father Conmee,satchelled schoolboys
39,Tangier lane,1675,53.34057,-6.261004,15'07'00,Blazes Boylan,H. E. L. Y’S
45,her drawer,1686,53.3460387,-6.2578924,15'07'10,Miss Dunne,The Woman in White
8,Saint Joseph's church,1640,53.35655486,-6.249364614,15'09'00,Father Conmee,incense
46,,1686,,,15'09'40,Miss Dunne,"large poster of Marie Kendall, charming soubrette"
47,,1686,,,15'11'50,Miss Dunne,telephone
50,the Dolphin,1853,53.345071,-6.26584,15'12'00,Lenehan and M‘Coy,ambulance car
48,,1686,,,15'12'20,Miss Dunne,Blazes Boylan
9,his shop,1645,53.35505005,-6.246926486,15'12'30,Father Conmee,Mr William Gallagher
10,Grogan's the Tobacconist,1646,53.35528698,-6.246272027,15'12'50,Father Conmee,newsboards [that] told of a dreadful catastrophe in New York
29,MacConnell's corner,1666,53.35771385,-6.263786852,15'13'00,onelegged sailor,Rabaiotti's icecream car
11,Daniel Bergin's publichouse,1647,53.35544387,-6.246041358,15'13'30,Father Conmee,two unlabouring men
12,H. J. O'Neill's funeral establishment,1648,53.35516852,-6.245883107,15'14'00,Father Conmee,A constable on his beat
30,his doorway,1667,53.35744171,-6.264124811,15'14'00,onelegged sailor,Larry O’Rourke
51,Temple bar,1713,53.3455173,-6.263145804,15'14'00,M‘Coy,banana peel
31,,1665,,,15'14'10,onelegged sailor,Katey and Boody Dedalus
32,,1665,,,15'14'15,onelegged sailor,stout lady
13,Youkstetter's,1649,53.35609062,-6.245175004,15'14'20,Father Conmee,"pig's puddings, white and black and red"
33,,1665,,,15'14'50,onelegged sailor,two barefoot urchins
14,Charleville Mall,1650,53.3567683,-6.2450966,15'15'00,Father Conmee,"turfbarge, a towhorse with pendent head, a bargeman with a hat of dirty straw"
15,Newcomen bridge,1651,53.356552,-6.244238,15'16'00,Father Conmee,outward bound tram
