instance_id,page,sequence,place_name_in_text,place,place_id,latitude,longitude,special,note,flagged,added,added_by,space,time,order,zoom
5867,180,1,presbytery,"Presbytery Church of St. Francis Xavier, Dublin",1627,53.35798,-6.2601,conmee,,,2016-11-30,Moacir,1,14'55'00,1,
5866,180,2,Artane,"Artane, Ireland",1626,53.38712,-6.2138,conmee,,,2016-11-30,Moacir,0,14'55'30,2,13
5868,180,3,convent of the sisters of charity,"Convent of the Sisters of Charity, Dublin",1628,53.3576463,-6.2599254,onelegged sailor,,,2016-11-30,Moacir,1,14'56'00,3,
5869,180,4,Mountjoy square,"Mountjoy Square, Dublin, Ireland",1629,53.356579,-6.257524,conmee,,,2016-11-30,Moacir,1,14'56'30,4,
5870,180,5,Buxton,"Buxton, Derbyshire, England",1630,53.25741,-1.90982,conmee,,,2016-11-30,Moacir,0,14'57'10,5,11
5871,180,6,Belvedere,"Belvedere College, Dublin",1631,53.3555502,-6.2621578,conmee,,,2016-11-30,Moacir,0,14'57'20,6,16
5872,180,7,London,London,33,51.50853,-0.12574,conmee,,,2016-11-30,Moacir,0,14'57'30,7,10
5873,181,1,Ireland,Ireland,42,53,-8,conmee,,,2016-11-30,Moacir,0,14'58'00,8,4
5874,181,2,corner of Mountjoy square,"Corner of Mountjoy Square, Dublin",1632,53.357414,-6.257208,conmee,,,2016-11-30,Moacir,1,14'59'00,9,
5875,181,3,Belvedere,"Belvedere College, Dublin",1631,53.3555502,-6.2621578,conmee,,,2016-11-30,Moacir,0,15'00'00,10,16
5876,181,4,red pillarbox at the corner of Fitzgibbon street,"Mailbox on Fitzgibbon St., Dublin",1633,53.357495,-6.256892,conmee,,,2016-11-30,Moacir,1,15'00'30,11,
5877,181,5,bright red letterbox,"Mailbox on Fitzgibbon St., Dublin",1633,53.357495,-6.256892,brunny lynam,,,2016-11-30,Moacir,1,15'00'50,12,
5878,181,6,Mountjoy square east,"Mountjoy Square E, Mountjoy, Dublin, Ireland",1634,53.3569734,-6.2564899,conmee,,,2016-11-30,Moacir,1,15'01'00,13,
5879,181,7,Dignam's court,"Dignam's court, Dublin",1635,53.353398,-6.259954,maginni,,,2016-11-30,Moacir,1,15'01'10,14,
5880,181,8,Great Charles street,"Charles Street Great, Dublin, Ireland",1636,53.3571361,-6.2541563,conmee,,,2016-11-30,Moacir,1,15'02'00,15,
5881,181,9,free church,"Free Church, Dublin",1637,53.357387,-6.254451,conmee,,,2016-11-30,Moacir,1,15'04'00,16,
5882,181,10,North Circular road,"North Circular Road, Dublin, Ireland",1638,53.357819,-6.25183,conmee,,,2016-11-30,Moacir,1,15'06'00,17,
5883,181,11,Richmond street,"Richmond St N, Dublin, Ireland",1639,53.3584264,-6.25042,satchelled schoolboys,,,2016-11-30,Moacir,1,15'07'00,18,
5884,181,12,Saint Joseph's church,"St. Joseph's Church, Portland Row, Dublin",1640,53.3565548614,-6.2493646145,conmee,,,2016-11-30,Moacir,1,15'09'00,19,
5885,181,13,Portland Row,"Portland Row, Dublin, Ireland",1641,53.355955,-6.2483315,conmee,,,2016-11-30,Moacir,1,15'09'10,20,
5886,181,14,For aged and virtuous females,St. Joseph's Asylum for Aged and Virtuous Females,1642,53.356442803,-6.2492841482,conmee,,,2016-11-30,Moacir,1,15'09'20,21,
5887,182,1,Aldborough house,"Aldborough House, Dublin",1643,53.35515,-6.248125,conmee,,,2016-11-30,Moacir,1,15'11'00,22,
5888,182,2,North Strand road,"N Strand Rd, Dublin, Ireland",1644,53.355043,-6.246317,conmee,,,2016-11-30,Moacir,1,15'12'00,23,
5889,182,3,his shop,"4 N Strand Rd, North Strand, Dublin",1645,53.3550500527,-6.2469264865,conmee,Gallagher's grocery,,2016-11-30,Moacir,1,15'12'30,24,
5890,182,4,Grogan's the Tobacconist,"16 N Strand Rd, North Dock, Dublin, Ireland",1646,53.3552869836,-6.2462720275,conmee,,,2016-11-30,Moacir,1,15'12'50,25,
5891,182,5,New York,New York City,37,40.71427,-74.00597,conmee,,,2016-11-30,Moacir,0,15'13'00,26,10
5892,182,6,America,United States,86,39.76,-98.5,conmee,,,2016-11-30,Moacir,0,15'13'10,27,2
5893,182,7,Daniel Bergin's publichouse,"17 N Strand Rd, North Dock, Dublin, Ireland",1647,53.3554438695,-6.2460413575,conmee,,,2016-11-30,Moacir,1,15'13'30,28,
5894,182,8,H. J. O'Neill's funeral establishment,"164 N Strand Rd, North Dock, Dublin, Ireland",1648,53.3551685183,-6.2458831072,conmee,,,2016-11-30,Moacir,1,15'14'00,29,
5895,182,9,Youkstetter's,"21 N Strand Rd, North Dock, Dublin, Ireland",1649,53.3560906176,-6.245175004,conmee,,,2016-11-30,Moacir,1,15'14'20,30,
